CustomerID,TenureMonths,Location,DeviceClass,GamesProduct,MusicProduct,EducationProduct,CallCenter,VideoProduct,UseMyApp,PaymentMethod,MonthlyPurchase
2142,71,0,2,0,0,1,0,1,1,3,128.245
1623,16,0,2,0,1,1,0,0,1,3,121.16
6074,32,0,2,0,1,1,0,1,1,3,135.265
1362,24,1,1,0,0,1,0,0,1,3,52.845
6754,20,0,0,2,2,2,0,2,2,1,26.065
1212,2,0,2,0,0,0,0,0,0,0,98.215
2722,52,0,1,1,0,1,0,1,0,1,83.59
4006,37,0,0,2,2,2,0,2,2,2,25.805
6791,41,0,1,1,0,1,1,0,1,2,97.045
5466,58,1,1,0,1,0,1,1,1,3,97.76
5852,9,0,0,2,2,2,0,2,2,1,26.455
4195,4,0,2,0,1,0,0,0,0,0,94.575
4166,36,0,2,0,0,0,0,1,1,0,124.02
5234,34,0,2,0,1,0,1,1,1,0,136.955
3414,33,0,2,0,1,1,0,0,1,0,121.355
1803,18,1,2,0,0,0,1,1,1,2,129.805
6203,10,1,1,1,0,0,0,0,0,1,67.145
5285,63,0,2,0,0,1,0,0,1,2,116.48
1323,2,0,2,0,0,0,0,0,1,0,103.48
5666,62,1,0,2,2,2,0,2,2,3,24.96
1941,65,0,2,1,1,1,0,1,1,3,144.365
6601,16,0,0,2,2,2,0,2,2,1,25.155
1902,52,0,1,1,0,0,1,1,1,3,103.675
3704,61,0,0,2,2,2,0,2,2,2,32.5
387,13,0,2,0,0,0,0,0,0,3,96.72
5550,6,0,1,0,0,0,0,0,0,1,59.15
1032,20,0,2,0,0,0,0,1,1,0,117.26
4523,9,1,1,0,1,0,0,0,1,0,52.975
6582,39,0,1,0,0,1,0,1,1,3,65.845
5587,19,0,0,2,2,2,0,2,2,1,25.74
3306,1,1,1,0,0,0,0,0,0,3,64.74
6625,51,0,1,0,1,0,0,0,0,3,38.285
3316,24,1,2,0,1,1,0,0,0,2,110.305
1010,25,0,2,1,0,0,0,0,1,0,115.765
3641,31,0,2,0,0,1,0,1,0,0,117.91
931,1,1,1,0,1,0,0,0,0,0,65.975
6352,4,0,0,2,2,2,0,2,2,1,25.545
691,24,1,2,0,0,0,0,1,1,0,117.455
533,47,0,2,1,1,1,0,1,0,0,128.375
6451,72,0,1,0,1,1,1,1,1,3,111.085
2227,7,0,1,1,1,1,1,1,0,0,98.41
652,1,0,2,0,0,0,0,0,0,1,96.525
33,1,0,2,0,0,0,0,0,0,1,91.585
4118,61,0,2,0,0,1,1,1,1,2,134.29
44,1,1,1,0,1,0,0,0,0,2,38.935
6767,36,0,2,0,1,1,0,1,1,2,136.24
5100,45,1,2,1,1,0,0,1,1,0,130.39
964,1,0,2,0,0,0,0,0,0,0,89.83
5589,35,0,2,0,0,0,1,0,0,3,104.065
2415,5,0,2,0,0,0,0,1,0,0,105.105
6202,69,1,1,1,0,1,1,1,1,3,110.955
2263,24,0,0,2,2,2,0,2,2,3,27.43
5202,72,0,1,1,1,1,1,1,1,2,113.815
4450,3,1,1,0,1,0,0,0,0,1,37.96
5247,58,0,0,2,2,2,0,2,2,1,27.04
6306,4,0,2,1,1,0,1,0,1,1,123.37
5244,10,0,1,0,0,0,1,0,1,1,79.235
2316,1,0,1,0,0,0,0,0,0,1,59.28
2617,23,1,0,2,2,2,0,2,2,0,26.975
26,37,0,2,0,0,0,0,0,0,0,99.45
3605,3,0,2,0,0,0,0,0,1,0,104.455
63,3,1,1,0,0,1,0,0,1,0,53.495
1044,6,0,2,0,1,1,0,1,1,0,136.89
3660,4,0,1,1,0,0,0,1,0,3,50.115
5360,69,0,1,0,1,1,0,1,1,3,71.435
2656,47,1,0,2,2,2,0,2,2,1,25.545
1454,9,0,1,0,0,0,0,1,0,3,45.11
227,1,1,1,0,0,0,0,0,0,0,31.98
6984,13,0,0,2,2,2,0,2,2,2,25.675
3080,29,1,0,2,2,2,0,2,2,1,25.805
3317,5,1,1,0,1,0,1,0,0,0,44.525
5035,67,1,1,1,1,0,1,0,0,2,79.235
